"Marca temporal","¿A qué grupo de edad perteneces?","¿Cuál es tu sexo?","¿Con qué frecuencia compras ropa, calzado o accesorios a lo largo del año? ","¿Cómo realizas normalmente tus compras de moda?","¿Cuál es tu gasto mensual aproximado en moda?","¿Qué redes sociales utilizas habitualmente?","¿Qué marcas de moda ves con más frecuencia en redes sociales?  Selecciona un máximo de 3 opciones   ","¿Cuánto tiempo pasas al día en las redes sociales?","¿Con qué frecuencia consumes contenido relacionado con moda en redes sociales?  ","¿Sigues a influencers o creadores de contenido de moda?  ","Las redes sociales influyen en mis decisiones de compra de moda.  ","He comprado ropa o accesorios después de verlos en redes sociales.  ","Descubro nuevas marcas de moda gracias a las redes sociales.  ","Ver contenido de moda en redes aumenta mis ganas de comprar.  ","A veces compro prendas después de verlas repetidamente en redes sociales, aunque realmente no las necesite. ","Las redes sociales influyen más en mis compras de moda que la publicidad tradicional.","Me atrae comprar prendas que están de moda en ese momento.  ","A veces compro ropa por impulso.","Me influye ver que muchas personas llevan una prenda o una marca concreta.  ","Suelo interesarme por productos o prendas virales en redes sociales.  ","Creo que las redes sociales aceleran la difusión de tendencias de moda.  ","Las redes sociales favorecen un consumo rápido y constante de moda.  ","He comprado prendas por tendencia o por influencia de redes que después apenas he usado.  ","Confío en las recomendaciones de influencers de moda.","Si un creador de contenido me parece auténtico, es más probable que compre lo que recomienda.  ","Creo que muchos influencers recomiendan productos solo por interés comercial.  ","En los últimos 6 meses, ¿has comprado alguna prenda o accesorio por influencia de redes sociales?  ","Si has respondido sí, ¿con qué frecuencia te ocurre?  ","¿Qué marcas te han influido más en alguna compra después de verlas en redes sociales? Selecciona un máximo de 3 opciones","En general, quedo satisfecho/a con las compras de moda que realizo tras ver contenido en redes sociales.  ","Me he arrepentido alguna vez de comprar ropa que había visto previamente en las redes sociales.  ","Seguiré comprando moda influido/a por contenido que vea en redes sociales.  ","Recomendaría comprar productos de moda descubiertos en redes sociales.  "
"2026/03/20 12:36:14 p. m. EET","18 - 28 años","Mujer","5","3","101 - 200€","Instagram;TikTok;Pinterest","Zara;Mango;Otra","3","4","4","3","5","5","4","4","4","5","5","4","4","5","5","5","4","5","4","Sí","4","Zara;Mango;Otra","3","3","4","4"
"2026/03/20 12:58:12 p. m. EET","18 - 28 años","Mujer","4","5","Menos de 30€","Instagram;TikTok;YouTube","Zara;Shein;Otra","4","3","2","5","5","5","5","5","5","4","5","3","2","5","5","3","3","4","5","Sí","2","Zara;Shein;Otra","3","4","4","4"
"2026/03/20 12:59:31 p. m. EET","18 - 28 años","Mujer","3","2","Menos de 30€","Instagram;TikTok;YouTube","Zara;Mango;H&M","4","2","2","1","1","5","4","1","5","5","1","3","1","5","5","1","2","4","5","No","","Ninguna","3","1","1","5"
"2026/03/20 1:39:30 p. m. EET","18 - 28 años","Mujer","4","3","30 - 60€","Instagram;TikTok;Pinterest","Zara;Shein;H&M","4","5","4","3","2","4","4","2","3","3","3","2","3","5","5","3","2","3","4","Sí","1","Zara;Shein;H&M","3","1","3","3"
"2026/03/20 1:40:59 p. m. EET","45 - 55 años","Mujer","3","1","30 - 60€","Instagram;YouTube","Zara;Mango;Otra","2","1","1","1","2","3","3","1","1","3","2","2","1","4","4","1","1","3","5","No","","Zara;Mango;Otra","3","4","1","3"
"2026/03/20 1:55:34 p. m. EET","29 - 44 años","Hombre","1","2","101 - 200€","YouTube;X (Twitter)","No me fijo en marcas concretas","2","1","1","1","4","2","4","3","4","2","4","3","1","4","4","4","2","4","3","No","1","Ninguna","3","4","3","4"
"2026/03/20 1:56:15 p. m. EET","56 años o más","Hombre","2","1","Menos de 30€","Instagram;YouTube;Facebook;X (Twitter)","No me fijo en marcas concretas","3","2","1","3","4","4","3","1","5","3","2","1","1","4","4","2","1","2","3","No","1","Otra","4","4","4","4"
"2026/03/20 1:58:41 p. m. EET","18 - 28 años","Mujer","3","2","Menos de 30€","Instagram;Pinterest","Zara;Mango","2","3","2","4","2","5","4","1","5","3","1","4","2","5","5","2","1","4","5","No","1","Zara","3","3","3","4"
"2026/03/20 2:13:30 p. m. EET","29 - 44 años","Hombre","3","5","30 - 60€","Instagram;YouTube;Facebook","Otra","2","2","2","2","2","4","4","3","3","4","2","3","2","5","5","2","2","4","4","No","","Otra","3","3","3","4"
"2026/03/20 2:21:35 p. m. EET","18 - 28 años","Hombre","2","3","30 - 60€","Instagram;TikTok;X (Twitter)","Otra","2","2","1","4","4","4","4","4","5","4","2","3","4","5","5","5","5","4","5","Sí","2","Zara;Otra","4","3","4","5"
"2026/03/20 2:22:02 p. m. EET","18 - 28 años","Hombre","3","4","30 - 60€","Instagram;TikTok;YouTube;X (Twitter)","Zara","4","3","3","4","4","5","4","4","4","4","2","4","3","4","3","3","4","2","2","Sí","3","Zara;H&M","3","4","4","3"
"2026/03/20 2:23:20 p. m. EET","18 - 28 años","Hombre","3","5","Menos de 30€","Instagram;TikTok;YouTube;Pinterest;X (Twitter)","Zara;Shein","4","2","2","4","5","5","5","5","5","3","2","2","5","5","5","2","3","4","5","Sí","2","Zara;Shein","4","2","4","4"
"2026/03/20 2:24:45 p. m. EET","18 - 28 años","Hombre","3","5","101 - 200€","Instagram;TikTok;YouTube","Otra","4","4","4","4","4","5","4","4","5","4","3","2","3","5","4","3","4","4","5","Sí","3","Zara;Massimo Dutti;Otra","4","3","4","4"
"2026/03/20 2:26:53 p. m. EET","18 - 28 años","Mujer","1","5","30 - 60€","Instagram;TikTok","Zara;H&M","5","5","5","4","1","3","4","2","4","3","5","4","4","4","4","4","2","4","4","No","4","Zara;Mango","4","4","3","4"
"2026/03/20 2:29:39 p. m. EET","18 - 28 años","Mujer","2","5","101 - 200€","Instagram;TikTok;YouTube;Pinterest;X (Twitter)","No me fijo en marcas concretas","5","5","5","3","4","4","4","5","4","3","5","4","4","5","5","5","4","5","5","Sí","3","Zara;Shein","4","5","5","5"
"2026/03/20 2:37:02 p. m. EET","45 - 55 años","Mujer","3","3","61 - 100€","No utilizo redes sociales","Zara;Shein;Mango","1","1","1","1","1","2","2","1","3","2","2","3","2","3","3","2","2","2","5","No","","Zara;Shein","3","3","1","2"
"2026/03/20 2:50:25 p. m. EET","18 - 28 años","Hombre","1","4","30 - 60€","Instagram;TikTok;YouTube;Facebook;X (Twitter)","Zara;Shein;Massimo Dutti","5","2","2","3","5","4","4","2","3","4","3","4","4","5","5","4","4","4","3","Sí","2","Otra","4","4","4","3"
"2026/03/20 2:51:21 p. m. EET","45 - 55 años","Hombre","3","5","30 - 60€","Instagram","No me fijo en marcas concretas","1","1","1","1","1","1","1","1","1","2","1","1","1","3","3","1","1","1","2","No","","Ninguna","1","1","1","1"
"2026/03/20 3:16:52 p. m. EET","18 - 28 años","Hombre","4","4","30 - 60€","Instagram;TikTok;YouTube;X (Twitter)","Zara","2","4","3","4","4","4","4","4","4","4","3","4","4","4","3","4","4","3","4","Sí","2","Zara;Otra","3","2","4","3"
"2026/03/20 3:42:04 p. m. EET","29 - 44 años","Mujer","5","1","30 - 60€","Instagram","Zara","1","3","2","2","2","1","3","1","2","4","2","2","1","2","3","2","1","1","4","No","","Ninguna","1","1","1","1"
"2026/03/20 3:43:58 p. m. EET","29 - 44 años","Mujer","3","3","30 - 60€","Instagram;YouTube","Shein","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","Sí","3","Shein","3","3","3","3"
"2026/03/20 3:46:03 p. m. EET","18 - 28 años","Mujer","2","3","Menos de 30€","Instagram;TikTok","Shein","2","1","1","1","2","1","1","1","1","2","1","1","1","5","5","1","1","2","5","No","","Shein","3","1","1","2"
"2026/03/20 4:22:14 p. m. EET","45 - 55 años","Mujer","5","5","Más de 200€","Instagram;TikTok;Pinterest;Facebook;X (Twitter)","Zara;Shein","3","5","5","5","5","5","5","5","5","5","4","4","5","5","5","5","3","3","5","Sí","3","Zara","4","5","5","5"
"2026/03/20 4:32:45 p. m. EET","29 - 44 años","Mujer","3","3","101 - 200€","Instagram;Facebook;X (Twitter)","Zara;Mango;H&M","2","5","5","4","4","5","4","3","5","5","3","4","4","5","5","2","3","3","4","Sí","3","Zara;Shein","4","3","3","3"
"2026/03/20 4:38:24 p. m. EET","18 - 28 años","Hombre","3","2","Menos de 30€","Instagram;TikTok;Pinterest","No me fijo en marcas concretas","2","2","1","1","4","4","1","2","3","3","3","2","4","4","3","3","2","3","3","No","2","Otra","3","3","3","3"
"2026/03/20 4:56:00 p. m. EET","29 - 44 años","Mujer","5","1","101 - 200€","Instagram;TikTok;YouTube","Zara","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","5","Sí","2","Zara","3","1","4","4"
"2026/03/20 5:11:03 p. m. EET","18 - 28 años","Mujer","4","4","30 - 60€","Instagram;TikTok;Pinterest","Zara;Otra","4","3","4","4","3","3","5","3","5","4","4","4","3","5","5","4","2","4","5","Sí","3","Otra","5","2","4","4"
"2026/03/20 6:09:00 p. m. EET","56 años o más","Hombre","2","3","30 - 60€","Instagram;Facebook","Otra","2","2","2","2","4","5","4","3","5","3","3","4","2","4","4","2","2","3","5","Sí","2","Otra","4","3","4","3"
"2026/03/20 7:55:31 p. m. EET","18 - 28 años","Mujer","2","3","Menos de 30€","Instagram;TikTok;Pinterest","Shein;H&M","4","2","2","1","3","3","1","1","2","1","1","1","1","4","4","1","2","4","5","No","","Shein;H&M","2","5","1","2"
"2026/03/20 9:51:19 p. m. EET","18 - 28 años","Mujer","4","4","30 - 60€","Instagram;TikTok;YouTube;Pinterest","Zara;Shein;H&M","4","5","5","4","5","5","5","5","3","5","5","4","3","5","4","3","2","4","5","Sí","3","Zara","4","4","5","4"
"2026/03/20 9:54:51 p. m. EET","18 - 28 años","Mujer","3","1","Menos de 30€","Instagram;TikTok;Pinterest;X (Twitter)","Zara;Shein","5","5","5","3","4","5","4","3","5","5","2","4","4","5","5","3","3","5","5","Sí","3","Zara;Shein","4","3","4","5"
"2026/03/20 10:05:13 p. m. EET","45 - 55 años","Mujer","2","3","30 - 60€","Instagram","Mango","1","4","4","3","4","4","4","2","5","3","1","3","3","5","5","1","4","4","5","Sí","2","Otra","4","1","3","3"
"2026/03/20 10:09:17 p. m. EET","45 - 55 años","Hombre","4","3","61 - 100€","Instagram;YouTube;X (Twitter)","Zara;Otra","2","2","2","3","2","4","3","3","4","3","4","4","3","4","5","3","2","4","5","Sí","2","Otra","3","3","2","3"
"2026/03/20 10:11:37 p. m. EET","56 años o más","Mujer","4","5","101 - 200€","Instagram;YouTube;Facebook","Zara;Mango;Massimo Dutti","2","3","2","3","4","4","3","3","4","3","2","3","3","5","5","4","3","5","4","Sí","2","Zara;Mango;Massimo Dutti","3","4","3","3"
"2026/03/20 10:23:45 p. m. EET","56 años o más","Mujer","5","5","61 - 100€","Facebook;X (Twitter)","H&M","2","1","1","2","2","2","3","1","3","1","3","3","1","5","4","4","1","1","5","No","","Mango;Ninguna","1","2","1","1"
"2026/03/20 10:50:23 p. m. EET","18 - 28 años","Mujer","2","4","Menos de 30€","Instagram;YouTube;Pinterest;X (Twitter)","Zara;Shein;Otra","2","4","3","4","3","4","3","1","4","3","1","4","1","5","5","2","3","4","5","Sí","2","Zara;Mango;H&M","3","4","3","3"
"2026/03/20 10:59:28 p. m. EET","29 - 44 años","Mujer","5","3","30 - 60€","Instagram","Zara","3","3","4","3","5","5","5","5","5","5","5","3","3","5","5","4","2","2","5","Sí","3","Zara","3","5","3","2"
"2026/03/20 11:08:16 p. m. EET","18 - 28 años","Mujer","4","3","30 - 60€","Instagram;TikTok;YouTube","Zara;Shein;Otra","3","3","4","3","4","2","5","3","5","4","3","4","4","5","4","1","3","5","3","Sí","4","Zara;Shein;Otra","4","4","5","4"
"2026/03/21 12:06:15 a. m. EET","29 - 44 años","Hombre","3","2","Menos de 30€","Instagram;TikTok;YouTube","Otra","2","1","1","2","3","3","3","2","3","2","2","3","2","4","5","3","2","3","3","No","","Otra","3","2","2","3"
"2026/03/21 12:12:49 a. m. EET","18 - 28 años","Mujer","3","1","Menos de 30€","TikTok;YouTube;Pinterest","Shein;Mango;H&M","2","3","2","4","4","5","5","2","4","2","2","4","2","4","5","1","3","4","3","No","","Zara;Mango;H&M","5","2","4","4"
"2026/03/21 3:04:29 a. m. EET","45 - 55 años","Hombre","2","4","30 - 60€","Instagram;YouTube;X (Twitter)","Zara;Otra","2","2","1","3","3","4","2","2","3","2","1","2","1","5","4","1","1","4","4","No","","Otra","4","1","3","4"
"2026/03/21 11:04:47 a. m. EET","18 - 28 años","Mujer","3","4","30 - 60€","Instagram;TikTok","Zara;H&M;Massimo Dutti","5","3","3","4","3","4","3","2","4","3","3","3","3","4","5","2","3","5","2","Sí","2","Zara;Otra","3","2","3","3"
"2026/03/21 11:13:50 a. m. EET","45 - 55 años","Mujer","1","3","Menos de 30€","No utilizo redes sociales","No me fijo en marcas concretas","1","1","1","1","1","1","2","1","1","2","1","2","1","4","4","1","1","1","5","No","1","Ninguna","1","1","1","1"
"2026/03/21 11:20:17 a. m. EET","56 años o más","Mujer","3","5","Más de 200€","Instagram;YouTube;Pinterest;Facebook;X (Twitter)","No me fijo en marcas concretas","1","2","1","1","1","1","1","1","1","4","2","1","1","4","2","1","1","1","5","No","","Ninguna","5","1","1","1"
"2026/03/21 11:21:37 a. m. EET","45 - 55 años","Mujer","3","3","101 - 200€","Instagram;TikTok;Facebook","Zara;Mango;Massimo Dutti","1","2","2","4","5","5","5","5","5","4","3","2","2","5","5","2","2","2","5","Sí","3","Zara;Massimo Dutti","4","3","3","2"
"2026/03/21 11:49:28 a. m. EET","45 - 55 años","Mujer","5","2","Menos de 30€","Instagram;Facebook","Shein","2","3","1","3","4","4","4","5","4","4","4","4","4","5","5","4","3","5","5","Sí","4","Zara;Mango;Massimo Dutti","4","4","4","4"
"2026/03/21 12:24:54 p. m. EET","45 - 55 años","Mujer","5","2","61 - 100€","Instagram","Zara;Shein;Mango","5","4","1","3","3","4","3","1","2","1","2","1","1","3","3","1","1","3","5","Sí","2","Zara","4","3","3","3"
"2026/03/21 12:29:27 p. m. EET","45 - 55 años","Mujer","4","3","61 - 100€","Instagram","Zara;Shein;Mango","3","2","2","2","2","4","3","1","2","2","1","1","2","3","4","2","2","4","5","No","1","Zara;Shein;Mango","2","4","2","2"
"2026/03/21 1:02:25 p. m. EET","56 años o más","Mujer","4","5","30 - 60€","Instagram;TikTok;YouTube;Pinterest;Facebook","Zara;Shein;Mango","1","2","2","2","3","3","2","1","3","3","1","2","2","5","5","2","1","5","5","No","","Zara;Mango","2","1","1","2"
"2026/03/21 2:00:35 p. m. EET","56 años o más","Mujer","2","5","101 - 200€","TikTok","Zara;Mango;Massimo Dutti","1","2","1","1","1","1","1","1","1","5","1","1","1","5","5","1","1","1","5","No","","Zara;Mango;Massimo Dutti","1","1","1","1"
"2026/03/21 2:03:21 p. m. EET","45 - 55 años","Mujer","5","5","61 - 100€","Instagram;YouTube;Facebook","No me fijo en marcas concretas","1","1","1","1","1","1","1","1","1","1","3","2","1","4","3","3","1","1","3","No","","Ninguna","1","1","1","3"
"2026/03/21 2:08:30 p. m. EET","45 - 55 años","Mujer","5","5","101 - 200€","Instagram;TikTok","Zara;Shein;Mango","2","1","1","2","5","3","3","2","2","3","3","4","2","4","4","4","2","2","5","Sí","3","Zara;Otra","3","5","4","3"
"2026/03/21 2:11:52 p. m. EET","29 - 44 años","Mujer","2","3","Menos de 30€","Instagram;Pinterest;Facebook","No me fijo en marcas concretas","3","1","1","1","1","1","1","1","1","1","1","1","1","3","5","1","1","1","1","No","1","Ninguna","1","1","1","1"
"2026/03/21 2:15:40 p. m. EET","29 - 44 años","Mujer","5","1","61 - 100€","Instagram","No me fijo en marcas concretas","1","3","1","3","3","5","5","3","3","3","1","2","3","3","5","5","2","5","5","Sí","1","Zara","3","5","3","5"
"2026/03/21 2:48:55 p. m. EET","29 - 44 años","Hombre","1","5","Menos de 30€","Instagram;YouTube","No me fijo en marcas concretas","5","1","1","1","1","1","1","1","1","1","1","1","1","3","3","1","1","1","5","No","","Ninguna","3","1","1","1"
"2026/03/21 2:52:43 p. m. EET","45 - 55 años","Mujer","5","2","30 - 60€","Instagram;Facebook","No me fijo en marcas concretas","2","4","3","3","2","4","3","2","3","4","4","4","2","4","5","4","1","1","5","No","","Zara","2","3","1","1"
"2026/03/21 3:19:08 p. m. EET","18 - 28 años","Mujer","3","4","101 - 200€","Instagram;Facebook","Zara;Mango","2","2","3","4","3","5","5","3","4","4","3","3","3","5","5","4","2","3","5","Sí","3","Zara","3","5","3","2"
"2026/03/21 3:34:50 p. m. EET","29 - 44 años","Hombre","3","4","30 - 60€","Instagram;YouTube;X (Twitter)","Zara;Mango;H&M","3","2","2","3","3","3","2","2","3","3","2","2","2","4","4","2","2","3","4","Sí","2","Zara;Mango;H&M","3","2","2","3"
"2026/03/21 3:37:00 p. m. EET","29 - 44 años","Mujer","3","3","61 - 100€","Instagram;YouTube;Pinterest","Zara;Mango;Massimo Dutti","3","3","3","3","3","4","3","3","3","3","3","3","3","4","4","3","3","4","4","Sí","3","Zara;Mango;H&M","4","3","3","4"
"2026/03/21 3:38:25 p. m. EET","18 - 28 años","Hombre","3","5","Más de 200€","Instagram;TikTok;YouTube;Facebook;X (Twitter)","Zara;Shein;H&M","3","3","5","3","1","1","2","1","1","1","1","1","1","5","5","2","1","1","5","No","","Zara","1","1","1","1"
"2026/03/21 3:42:25 p. m. EET","18 - 28 años","Hombre","2","3","Menos de 30€","Instagram;TikTok;X (Twitter)","Shein;Otra","2","1","1","2","3","4","3","1","3","1","1","2","2","4","5","2","3","4","4","No","","Ninguna","3","3","1","2"
"2026/03/21 4:01:42 p. m. EET","56 años o más","Prefiero no decirlo","4","2","30 - 60€","No utilizo redes sociales","Shein","2","3","1","2","2","2","3","2","1","4","2","3","3","4","4","3","2","4","5","No","","Shein","3","4","2","2"
"2026/03/21 4:06:01 p. m. EET","56 años o más","Mujer","2","4","101 - 200€","No utilizo redes sociales","Massimo Dutti;Otra","1","2","1","1","1","1","2","1","1","4","3","2","2","4","4","2","1","2","5","No","","Ninguna","3","2","2","2"
"2026/03/21 4:11:35 p. m. EET","56 años o más","Mujer","3","2","Más de 200€","Instagram;YouTube","Mango;Massimo Dutti","2","4","4","3","4","2","4","3","3","4","4","4","4","4","4","3","3","4","4","Sí","2","Mango;Massimo Dutti;Otra","4","2","3","3"
"2026/03/21 4:14:59 p. m. EET","56 años o más","Mujer","1","5","Menos de 30€","No utilizo redes sociales","No me fijo en marcas concretas","1","1","1","1","1","1","1","1","1","4","1","4","1","5","5","1","1","1","5","No","","Ninguna","1","1","1","1"
"2026/03/21 4:18:37 p. m. EET","56 años o más","Hombre","4","2","61 - 100€","Instagram;TikTok;Facebook;X (Twitter)","Zara;Mango","1","2","1","2","2","3","1","1","1","3","2","4","1","3","4","2","1","2","4","No","","Zara;Mango;H&M","4","2","2","2"
"2026/03/21 4:19:02 p. m. EET","56 años o más","Mujer","2","4","61 - 100€","Instagram;YouTube","Zara;H&M","3","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","Sí","3","Zara;Mango","4","2","4","4"
"2026/03/21 4:22:32 p. m. EET","56 años o más","Mujer","3","2","101 - 200€","YouTube","Mango;Massimo Dutti;Otra","4","4","4","4","2","2","4","2","4","3","4","4","3","4","4","2","4","4","3","Sí","2","Zara;Mango;Massimo Dutti","4","2","4","4"
"2026/03/21 4:23:26 p. m. EET","56 años o más","Hombre","3","4","61 - 100€","Instagram;TikTok;YouTube;Facebook;X (Twitter)","Zara","2","2","2","1","2","1","1","1","1","2","2","4","1","4","4","1","1","2","4","No","","Zara","3","2","2","2"
"2026/03/21 4:26:00 p. m. EET","56 años o más","Mujer","4","4","Más de 200€","YouTube","Massimo Dutti;Otra","4","4","4","4","4","4","4","2","4","4","2","4","4","4","4","2","4","4","2","Sí","3","Massimo Dutti;Otra","4","3","4","4"
"2026/03/21 4:27:58 p. m. EET","56 años o más","Mujer","3","3","61 - 100€","Instagram;YouTube;Otra","Shein;H&M;Otra","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","Sí","3","H&M;Otra","3","3","3","3"
"2026/03/21 4:33:49 p. m. EET","56 años o más","Mujer","4","4","30 - 60€","YouTube","Mango","3","4","4","2","2","4","4","2","2","3","4","2","2","4","4","4","2","4","4","No","","Zara;Mango;Massimo Dutti","3","3","3","3"
"2026/03/21 5:45:09 p. m. EET","56 años o más","Hombre","4","5","Menos de 30€","Instagram;TikTok;Facebook","No me fijo en marcas concretas","1","1","1","1","1","1","1","1","1","1","1","1","1","5","5","1","1","1","5","No","","Ninguna","1","1","1","1"
"2026/03/21 5:45:33 p. m. EET","56 años o más","Mujer","5","5","Más de 200€","Facebook","Zara","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","No","3","Zara","4","3","3","2"
"2026/03/21 5:46:11 p. m. EET","56 años o más","Mujer","1","2","61 - 100€","Instagram","Zara","1","1","1","1","2","1","1","2","1","3","3","4","1","5","5","5","1","1","1","No","1","Zara;Mango;H&M","1","3","1","3"
"2026/03/21 5:51:47 p. m. EET","45 - 55 años","Mujer","1","1","61 - 100€","Instagram","Otra","3","4","1","1","1","1","1","4","1","1","1","4","4","3","3","3","1","1","4","No","","Ninguna","2","1","1","1"
"2026/03/21 6:27:58 p. m. EET","45 - 55 años","Hombre","1","5","61 - 100€","No utilizo redes sociales","No me fijo en marcas concretas","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","1","1","1","4","No","","Ninguna","1","1","1","1"
"2026/03/21 6:32:54 p. m. EET","45 - 55 años","Mujer","4","4","30 - 60€","Instagram","Zara;Shein","2","4","3","3","4","5","5","3","5","3","5","2","2","5","5","5","2","2","5","No","","Zara;Otra","2","5","2","1"
"2026/03/21 6:39:02 p. m. EET","45 - 55 años","Mujer","5","4","30 - 60€","Otra;No utilizo redes sociales","Zara;Mango;Massimo Dutti","1","4","1","5","4","1","4","1","4","5","1","3","4","5","5","1","3","5","5","Sí","1","Massimo Dutti","4","1","4","3"
"2026/03/21 6:58:26 p. m. EET","45 - 55 años","Mujer","2","5","30 - 60€","Instagram;Facebook","Shein","2","1","1","1","1","2","2","2","5","1","1","1","1","4","5","1","1","1","3","No","","Shein","2","2","2","3"
"2026/03/21 7:45:14 p. m. EET","56 años o más","Hombre","3","5","61 - 100€","TikTok;YouTube;Facebook","Otra","2","1","1","5","1","1","5","1","1","5","5","1","1","5","5","1","1","1","5","No","","Ninguna","5","5","1","1"
"2026/03/21 8:41:44 p. m. EET","45 - 55 años","Hombre","3","3","Menos de 30€","Instagram;Facebook","Otra","1","1","1","1","1","1","2","1","2","4","3","4","2","2","2","1","1","1","1","No","1","Otra","1","5","1","1"
"2026/03/21 9:01:15 p. m. EET","56 años o más","Mujer","3","5","Menos de 30€","Instagram","No me fijo en marcas concretas","1","1","1","1","1","1","1","1","1","2","1","1","1","3","3","1","1","1","5","No","","Ninguna","5","5","1","1"
"2026/03/21 9:01:57 p. m. EET","18 - 28 años","Mujer","4","4","Menos de 30€","Instagram;TikTok;YouTube","Zara;Massimo Dutti;Otra","2","2","5","4","4","4","5","3","4","5","5","4","5","4","5","1","4","3","4","Sí","2","Zara;Otra","4","1","4","4"
"2026/03/21 9:02:26 p. m. EET","56 años o más","Mujer","5","3","61 - 100€","Instagram;Facebook;X (Twitter)","Zara;Mango;Massimo Dutti","2","3","1","2","2","1","2","2","1","2","2","2","1","1","1","1","1","1","5","Sí","2","Otra","3","3","2","3"
"2026/03/21 9:27:11 p. m. EET","29 - 44 años","Hombre","2","4","30 - 60€","Instagram;YouTube;Facebook;X (Twitter)","No me fijo en marcas concretas","2","2","1","2","2","2","2","2","2","2","2","2","1","4","4","1","1","2","5","No","","Ninguna","2","1","2","2"
"2026/03/21 9:31:54 p. m. EET","29 - 44 años","Mujer","4","3","101 - 200€","Instagram;YouTube;Pinterest","Zara;Mango;Massimo Dutti","4","5","4","4","4","5","4","3","4","5","3","4","4","5","4","3","3","5","4","Sí","4","Zara;Mango;Massimo Dutti","4","3","4","4"
"2026/03/21 9:34:14 p. m. EET","56 años o más","Hombre","2","5","61 - 100€","YouTube;Facebook","Zara;Mango;Otra","2","1","1","1","1","2","1","1","1","1","1","1","1","4","4","1","1","2","5","No","","Ninguna","2","1","1","1"
"2026/03/21 10:11:12 p. m. EET","45 - 55 años","Hombre","2","5","Más de 200€","No utilizo redes sociales","No me fijo en marcas concretas","1","1","1","1","1","1","1","1","1","1","1","1","1","5","5","1","1","5","5","No","","Otra","1","1","1","1"
"2026/03/21 11:11:13 p. m. EET","45 - 55 años","Hombre","2","5","Menos de 30€","No utilizo redes sociales","No me fijo en marcas concretas","1","1","1","1","2","1","1","1","1","3","1","3","1","5","5","1","1","2","5","No","","Ninguna","3","3","1","1"
"2026/03/21 11:20:35 p. m. EET","29 - 44 años","Mujer","4","2","30 - 60€","Instagram;X (Twitter)","Zara;Mango;Otra","4","4","4","5","5","5","5","5","5","3","4","4","3","4","4","3","4","5","4","Sí","4","Otra","3","3","5","5"
"2026/03/22 3:11:39 p. m. EET","18 - 28 años","Mujer","3","5","30 - 60€","Instagram;TikTok;YouTube","Zara;Shein","2","2","2","1","2","2","1","1","1","1","1","1","1","3","3","1","1","1","4","No","","Ninguna","1","1","1","1"
"2026/03/22 8:03:59 p. m. EET","29 - 44 años","Mujer","3","2","61 - 100€","Instagram;TikTok;YouTube","Zara;Mango;H&M","4","4","3","4","4","4","4","3","4","4","3","3","4","5","4","3","3","4","4","Sí","3","Zara;Mango;H&M","4","3","4","4"
"2026/03/22 8:06:11 p. m. EET","29 - 44 años","Hombre","4","2","61 - 100€","Instagram;TikTok;YouTube","Zara;Mango;Otra","4","4","4","4","4","4","4","3","4","4","3","4","4","5","4","3","3","5","4","Sí","4","Zara;Mango;Otra","4","3","4","4"
"2026/03/22 8:09:23 p. m. EET","29 - 44 años","Mujer","3","3","101 - 200€","Instagram;YouTube;Pinterest","Zara;Shein;Mango","3","3","3","3","3","4","3","2","3","3","2","3","2","4","4","2","2","4","4","Sí","2","Zara;Shein","4","2","3","3"
"2026/03/22 8:11:46 p. m. EET","29 - 44 años","Mujer","4","2","Más de 200€","Instagram;TikTok;Pinterest","Mango;Massimo Dutti","4","4","4","4","4","5","4","3","4","4","3","4","4","5","4","3","3","4","4","Sí","3","Zara;Mango;Massimo Dutti","4","3","4","4"
"2026/03/22 8:14:23 p. m. EET","29 - 44 años","Hombre","2","4","Menos de 30€","Instagram;YouTube;X (Twitter)","No me fijo en marcas concretas","2","1","1","1","1","1","1","1","1","1","1","1","1","4","4","1","1","1","5","No","","Ninguna","1","1","1","1"
"2026/03/22 8:16:48 p. m. EET","56 años o más","Mujer","4","4","101 - 200€","Instagram;YouTube;Facebook","Zara;Massimo Dutti;Otra","3","3","2","3","3","3","4","2","2","4","3","3","2","4","4","2","2","3","4","Sí","2","Zara;Massimo Dutti;Otra","4","2","3","3"
"2026/03/22 8:23:41 p. m. EET","29 - 44 años","Hombre","3","3","30 - 60€","Instagram;YouTube;Facebook","Zara;Mango;Otra","3","2","2","2","2","3","2","1","2","2","2","2","1","4","4","1","2","3","4","Sí","2","Zara;Mango;Otra","3","2","2","3"
"2026/03/22 8:55:32 p. m. EET","29 - 44 años","Mujer","4","2","61 - 100€","Instagram;TikTok;YouTube;Pinterest;Facebook","Zara;Shein;Mango","4","4","3","4","4","4","4","3","4","4","3","3","5","4","3","3","3","4","4","Sí","3","Zara;Shein;Mango","4","3","4","4"
